public_space_name,house_number,house_letter,house_number_addition,postcode,city,gemeente,province,type_address_object,addressable_object,side_address,latitude,longitude,geompoint,geogpoint
Prins Hendrikkade,99,B,3,1011AG,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000783118,f,52.37582938,4.9029705,01010000204071000000000000A0CAFD4000000000B4C31D41,0101000020E610000060A06F4CA49C1340E946512D1B304A40
Prins Hendrikkade,99,,,1011AG,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000966710,f,52.37587449,4.90301406,01010000204071000000000000D0CAFD4000000000C8C31D41,0101000020E61000004FB0F5B7AF9C1340697EC8A71C304A40
Prins Hendrikkade,100,,1L,1011AH,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000995139,f,52.37575742,4.9029566,0101000020407100000000000090CAFD400000000094C31D41,0101000020E61000006769A2A7A09C1340DABEAFD118304A40
Prins Hendrikkade,100,,1R,1011AH,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000995140,f,52.37575742,4.9029566,0101000020407100000000000090CAFD400000000094C31D41,0101000020E61000006769A2A7A09C1340DABEAFD118304A40
Prins Hendrikkade,100,,2L,1011AH,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000995141,f,52.37575742,4.9029566,0101000020407100000000000090CAFD400000000094C31D41,0101000020E61000006769A2A7A09C1340DABEAFD118304A40
Prins Hendrikkade,100,,2R,1011AH,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000995142,f,52.37575742,4.9029566,0101000020407100000000000090CAFD400000000094C31D41,0101000020E61000006769A2A7A09C1340DABEAFD118304A40
Prins Hendrikkade,100,,3L,1011AH,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000995143,f,52.37575742,4.9029566,0101000020407100000000000090CAFD400000000094C31D41,0101000020E61000006769A2A7A09C1340DABEAFD118304A40
Prins Hendrikkade,100,,3R,1011AH,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000995144,f,52.37575742,4.9029566,0101000020407100000000000090CAFD400000000094C31D41,0101000020E61000006769A2A7A09C1340DABEAFD118304A40
Prins Hendrikkade,100,,H,1011AH,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000995671,f,52.37575742,4.9029566,0101000020407100000000000090CAFD400000000094C31D41,0101000020E61000006769A2A7A09C1340DABEAFD118304A40
Prins Hendrikkade,101,A,,1011AH,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000783132,f,52.37569439,4.90292792,0101000020407100000000000070CAFD400000000078C31D41,0101000020E61000000DA6C522999C1340A84FF1C016304A40
Prins Hendrikkade,101,B,,1011AH,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000783133,f,52.37569439,4.90292792,0101000020407100000000000070CAFD400000000078C31D41,0101000020E61000000DA6C522999C1340A84FF1C016304A40
Prins Hendrikkade,101,C,,1011AH,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000783134,f,52.37569439,4.90292792,0101000020407100000000000070CAFD400000000078C31D41,0101000020E61000000DA6C522999C1340A84FF1C016304A40
Prins Hendrikkade,102,,1,1011AH,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000783136,f,52.37565838,4.90291362,0101000020407100000000000060CAFD400000000068C31D41,0101000020E6100000B3BDA263959C13404D0DE09215304A40
Prins Hendrikkade,102,,2,1011AH,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000783137,f,52.37565838,4.90291362,0101000020407100000000000060CAFD400000000068C31D41,0101000020E6100000B3BDA263959C13404D0DE09215304A40
Prins Hendrikkade,102,,3,1011AH,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000783138,f,52.37565838,4.90291362,0101000020407100000000000060CAFD400000000068C31D41,0101000020E6100000B3BDA263959C13404D0DE09215304A40
Prins Hendrikkade,102,,4,1011AH,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000783139,f,52.37565838,4.90291362,0101000020407100000000000060CAFD400000000068C31D41,0101000020E6100000B3BDA263959C13404D0DE09215304A40
Prins Hendrikkade,102,,H,1011AH,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000783135,f,52.37565838,4.90291362,0101000020407100000000000060CAFD400000000068C31D41,0101000020E6100000B3BDA263959C13404D0DE09215304A40
Prins Hendrikkade,103,,1,1011AH,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000783141,f,52.37559541,4.90289963,0101000020407100000000000050CAFD40000000004CC31D41,0101000020E6100000781242B8919C1340AF92A28213304A40
Prins Hendrikkade,103,,2,1011AH,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000783142,f,52.37559541,4.90289963,0101000020407100000000000050CAFD40000000004CC31D41,0101000020E6100000781242B8919C1340AF92A28213304A40
Prins Hendrikkade,103,,3,1011AH,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000783143,f,52.37559541,4.90289963,0101000020407100000000000050CAFD40000000004CC31D41,0101000020E6100000781242B8919C1340AF92A28213304A40
Prins Hendrikkade,103,,H,1011AH,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000783140,f,52.37559541,4.90289963,0101000020407100000000000050CAFD40000000004CC31D41,0101000020E6100000781242B8919C1340AF92A28213304A40
Prins Hendrikkade,104,A,,1011AJ,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000952402,f,52.37553238,4.90287094,0101000020407100000000000030CAFD400000000030C31D41,0101000020E6100000237D68338A9C1340E41AE47111304A40
Prins Hendrikkade,104,B,,1011AJ,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000783145,f,52.37553238,4.90287094,0101000020407100000000000030CAFD400000000030C31D41,0101000020E6100000237D68338A9C1340E41AE47111304A40
Prins Hendrikkade,104,C,,1011AJ,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000952404,f,52.37555922,4.90284128,0101000020407100000000000010CAFD40000000003CC31D41,0101000020E610000012DEB26C829C134067570E5312304A40
Prins Hendrikkade,104,D,,1011AJ,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000952405,f,52.37554124,4.90284148,0101000020407100000000000010CAFD400000000034C31D41,0101000020E61000002029DF79829C1340963246BC11304A40
